27-5○10=32,1,,,
55○13×2=81,1,,,
13○11-7=17,1,,,
29+11○2=42,1,,,
6+2-8○2-4+6=4,1,,,
2○7+4×3 = 21,1,,,
 9×5○2+1 = 48,1,,,
10+6○3×2 = 22,1,,,
80÷4○5-2 = 23,1,,,
7○2+9×2 = 27,1,,,
4×3+5○6 = 23,1,,,
20○8+2÷2 = 29,1,,,
11+3○6×4 = 38,1,,,
13○5+9÷3 = 21,1,,,
36÷6○2+7 = 15,1,,,
10×4○5+1 = 46,1,,,
15+6○2×3 = 27,1,,,
18○4+3×2 = 28,1,,,
42÷7+4○1 = 11,1,,,
50○10+3×2 = 66,1,,,
8×3+5○4 = 33,1,,,
6+12○8÷4 = 20,1,,,
45÷5○2+3 = 14,1,,,
17○9+2×3 = 32,1,,,
7×6○4+5 = 51,1,,,
60÷5+7○1 = 20,1,,,
3+5○2×7 = 22,1,,,
25○10+4÷2 = 37,1,,,
12×3○5+1 = 42,1,,,
14○2+6×3 = 34,1,,,
5×5○2+4 = 31,1,,,
6+9○2×8 = 31,1,,,
56÷8○3+1 = 11,1,,,
21○4+5×2 = 35,1,,,
9+3○6×5 = 42,1,,,
48÷6○3+2 = 13,1,,,
16○7+3×3 = 32,1,,,
2+9○4×8 = 43,1,,,
8×7○2+6 = 64,1,,,
90÷9+4○1 = 15,1,,,
3+6○5×9 = 54,1,,,
11×2○3+1 = 26,1,,,
13○4+5×6 = 47,1,,,
40÷5+2○3 = 13,1,,,
6×8○2+4 = 54,1,,,
18+3○2×7 = 35,1,,,
4+2○6×10 = 66,1,,,
27○5+2×3 = 38,1,,,
49÷7+6○3 = 16,1,,,
9+2○8×5 = 51,1,,,
10○4+5×2 = 16,2,,,
30−6×2○4 = 14,2,,,
48÷6+3○2 = 9,2,,,
22+7○3−2 = 24,2,,,
50−8○2×3 = 36,2,,,
80÷8−4○1 = 5,2,,,
12×4−6○2 = 40,2,,,
36○6+5−3 = 32,2,,,
14+8−5○2 = 15,2,,,
