23 □ 27 = 50,1
36 □ 46 = 82,1
12 □ 33 = 45,1
61 □ 25 = 86,1
26 □ 65 = 91,1
16 □ 49 = 65,1
26 □ 18 = 44,1
95 □ 63 = 158,1
15 □ 38 = 53,1
46 □ 39 = 85,1
29 □ 46 = 75,1
48 □ 95 = 143,1
56 □ 78 = 134,1
63 □ 59 = 122,1
89 □ 75 = 164,1
105 □ 85 = 20,2
75 □ 34 = 41,2
126 □ 58 = 68,2
105 □ 56 = 49,2
46 □ 32 = 14,2
56 □ 29 = 27,2
94 □ 85 = 9,2
36 □ 15 = 21,2
76 □ 47 = 29,2
216 □ 105 = 111,2
56 □ 39 = 17,2
89 □ 44 = 45,2
78 □ 56 = 22,2
62 □ 59 = 3,2
895 □ 489 = 406,2
9 □ 7 = 63,3
58 □ 2 = 116,3
23 □ 56 = 1288,3
65 □ 6 = 390,3
78 □ 96 = 7488,3
15 □ 48 = 720,3
62 □ 53 = 3286,3
96 □ 84 = 8064,3
57 □ 89 = 5073,3
12 □ 3 = 36,3
46 □ 26 = 1196,3
26 □ 3 = 78,3
59 □ 27 = 1593,3
46 □ 52 = 2392,3
75 □ 6 = 450,3
96 □ 8 = 12,4
384 □ 12 = 32,4
964 □ 241 = 4,4
1058 □ 23 = 46,4
986 □ 58 = 17,4
564 □ 47 = 12,4
231 □ 21 = 11,4
324 □ 12 = 27,4
38 □ 19 = 2,4
8901 □ 207 = 43,4
514 □ 2 = 257,4
256 □ 64 = 4,4
512 □ 32 = 16,4
365 □ 5 = 73,4
390 □ 26 = 15,4
